"filename", "language", "Groovy", "Java Properties", "Java", "Batch", "XML", "comment", "blank", "total"
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\.idea\compiler.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\.idea\gradle.xml", "XML", 0, 0, 0, 0, 18, 0, 0, 18
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\.idea\jarRepositories.xml", "XML", 0, 0, 0, 0, 20, 0, 0, 20
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\.idea\misc.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\gradlew.bat", "Batch", 0, 0, 0, 71, 0, 0, 22, 93
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\build.gradle", "Groovy", 17, 0, 0, 0, 0, 11, 6, 34
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\app\Program.java", "Java", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\selfdao\Builder.java", "Java", 0, 0, 88, 0, 0, 16, 24, 128
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\selfdao\BuilderOfDao.java", "Java", 0, 0, 4, 0, 0, 0, 4, 8
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\selfdao\DomainEntity.java", "Java", 0, 0, 11, 0, 0, 0, 6, 17
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\selfdao\HandlerInsert.java", "Java", 0, 0, 86, 0, 0, 0, 13, 99
