"filename", "language", "C#", "XML", "comment", "blank", "total"
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-21-2016-prototipo-experimental-AVE-settler\settler\SettlerEmit\AutoFixtureEmit.cs", "C#", 11, 0, 0, 2, 13
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-21-2016-prototipo-experimental-AVE-settler\settler\SettlerEmit\Properties\AssemblyInfo.cs", "C#", 15, 0, 17, 5, 37
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-21-2016-prototipo-experimental-AVE-settler\settler\SettlerEmit\SettlerEmit.csproj", "XML", 0, 46, 7, 0, 53
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-21-2016-prototipo-experimental-AVE-settler\settler\SettlerTest\Classroom.cs", "C#", 18, 0, 0, 3, 21
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-21-2016-prototipo-experimental-AVE-settler\settler\SettlerTest\Properties\AssemblyInfo.cs", "C#", 15, 0, 17, 5, 37
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-21-2016-prototipo-experimental-AVE-settler\settler\SettlerTest\School.cs", "C#", 16, 0, 0, 3, 19
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-21-2016-prototipo-experimental-AVE-settler\settler\SettlerTest\SettlerTest.csproj", "XML", 0, 88, 7, 0, 95
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-21-2016-prototipo-experimental-AVE-settler\settler\SettlerTest\Student.cs", "C#", 24, 0, 0, 2, 26
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-21-2016-prototipo-experimental-AVE-settler\settler\SettlerTest\UnitTestSettler.cs", "C#", 99, 0, 0, 10, 109
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-21-2016-prototipo-experimental-AVE-settler\settler\Settler\AutoFixture.cs", "C#", 48, 0, 0, 6, 54
